	abstract	1	2	3	4	5	6	7	8	9	10
8	10078535.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
15	10094048.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
35	10231895.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
42	10348816.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
54	10376594.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
57	10382758.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
77	10449770.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
85	10483730.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
88	10488095.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
93	10497065.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
101	10518015.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
103	10518787.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
111	10540229.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
128	10571081.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
134	10588744.txt	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0
146	10622723.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
150	10629038.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
172	10698346.txt	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0
181	10731678.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
194	10760814.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
199	10777567.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
201	10799506.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
202	10799849.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
203	10799895.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
224	10861079.txt	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0
251	10947953.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
259	10990454.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
285	11063742.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
291	11081636.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
306	11119516.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
318	11157049.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
337	11207625.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
342	11239771.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
