	GO_CATEGORY	VAL	p
124	GO:0070098	17.86	
1392	GO:0005126	17.620078571428554	
152	GO:0050900	17.229351190476198	
258	GO:0030595	16.68928333333334	
136	GO:0030593	16.322000000000006	
138	GO:0097529	16.1847	
264	GO:1990266	16.108	
173	GO:0071621	16.058333333333334	
190	GO:0097530	15.737000000000002	
3783	GO:0042379	14.863666666666665	
1085	GO:0070555	14.85875	
228	GO:0060326	14.825190476190446	
3008	GO:0005125	14.680714285714258	
137	GO:0071674	14.667	
412	GO:0001664	14.098900000000027	
3785	GO:0008009	14.024333333333335	
852	GO:0070374	13.77583095238099	
126	GO:0002687	13.59680000000002	
1619	GO:0034612	13.57325	
262	GO:0002685	12.897333333333357	
677	GO:1903039	12.803428571428542	
169	GO:0019221	12.690757539682494	
2159	GO:0072676	12.505999999999998	
583	GO:0022409	12.481100000000005	
3813	GO:0048020	12.154000000000002	
996	GO:0070372	12.086103174603153	
878	GO:0032496	12.060534090909094	
725	GO:0050870	11.727678571428552	
153	GO:0002688	11.672083333333342	
208	GO:0002690	11.66	
251	GO:0006935	11.586450000000006	
139	GO:0042330	11.553650000000006	
1748	GO:0071346	11.491416666666668	
1111	GO:0002237	11.486384090909096	
625	GO:0097305	11.40825	
175	GO:0040011	11.255733333333339	
2938	GO:0071677	11.230666666666664	
284	GO:0050921	11.190400000000004	
180	GO:0032103	11.138061507936527	
398	GO:0050727	11.10192380952381	
3826	GO:0002548	11.0	
3830	GO:0048247	10.991	
518	GO:1901216	10.966583333333332	
191	GO:0006954	10.944476190476193	
812	GO:0031334	10.8494	
188	GO:0019722	10.8108	
865	GO:0071222	10.728625	
2887	GO:0071356	10.6914	
3786	GO:0071347	10.675333333333333	
1836	GO:0050729	10.585599999999998	
1162	GO:0071345	10.482119047619042	
888	GO:0043410	10.470169805194784	
620	GO:0052548	10.370295238095247	
453	GO:0070851	10.325883333333335	
584	GO:1903037	10.318489682539665	
750	GO:0071219	10.28379166666667	
827	GO:0051897	10.14815	
166	GO:0019932	10.119246428571431	
2054	GO:0030546	10.111401587301595	
1090	GO:0001819	10.10499134199134	
653	GO:0045121	10.036696428571428	
487	GO:0098857	10.036696428571428	
1814	GO:0000165	9.99323095238096	
498	GO:0050863	9.974025000000008	
672	GO:0045785	9.962390476190471	
281	GO:0050920	9.91563333333333	
479	GO:0052547	9.910752380952378	
877	GO:0071216	9.881825	
410	GO:0031349	9.845535714285713	
322	GO:0002822	9.842199999999998	
1728	GO:0032651	9.787666666666668	
1663	GO:0032760	9.7105	
1064	GO:0071396	9.70701666666667	
1741	GO:0032731	9.6385	
1635	GO:1903557	9.6295	
3808	GO:2000401	9.5255	
1398	GO:0042129	9.503314285714287	
1818	GO:0050671	9.48506666666667	
1766	GO:0032732	9.4755	
2060	GO:0048018	9.464342857142855	
252	GO:0030335	9.450240476190482	
353	GO:0002819	9.445914285714283	
1838	GO:0032652	9.428333333333336	
1340	GO:0097191	9.428333333333336	
1784	GO:0032946	9.421733333333338	
