	GO_CATEGORY	VAL	p	Description
0	GO:0070098	17.86	0.0	The series of molecular signals initiated by a chemokine binding to its receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription. [GOC:mah, GOC:signaling]
1	GO:0005126	17.620078571428554	0.0	Binding to a cytokine receptor. [GOC:mah, GOC:vw]
2	GO:0050900	17.229351190476198	0.0	The movement of a leukocyte within or between different tissues and organs of the body. [GOC:add, ISBN:0781735149, PMID:14680625, PMID:14708592, PMID:7507411, PMID:8600538]
3	GO:0030595	16.68928333333334	0.0	The movement of a leukocyte in response to an external stimulus. [GOC:add, GOC:jl]
4	GO:0030593	16.322000000000006	0.0	The directed movement of a neutrophil cell, the most numerous polymorphonuclear leukocyte found in the blood, in response to an external stimulus, usually an infection or wounding. [GOC:jl, ISBN:0198506732]
5	GO:0097529	16.1847	0.0	The movement of a myeloid leukocyte within or between different tissues and organs of the body. [GOC:cvs, PMID:22342843, PMID:24157461]
6	GO:1990266	16.108	0.0	The movement of a neutrophil within or between different tissues and organs of the body. [PMID:1826836]
7	GO:0071621	16.058333333333334	0.0	The movement of a granulocyte in response to an external stimulus. [GOC:rph]
8	GO:0097530	15.737000000000002	0.0	The movement of a granulocyte within or between different tissues and organs of the body. [GOC:cvs, PMID:24163421, PMID:24193336]
9	GO:0042379	14.863666666666665	0.0	Binding to a chemokine receptor. [GOC:ai]
10	GO:0070555	14.85875	0.0	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an interleukin-1 stimulus. [GOC:BHF, GOC:mah]
11	GO:0060326	14.825190476190446	0.0	The directed movement of a motile cell guided by a specific chemical concentration gradient. Movement may be towards a higher concentration (positive chemotaxis) or towards a lower concentration (negative chemotaxis). [GOC:dph]
12	GO:0005125	14.680714285714258	0.0	The activity of a soluble extracellular gene product that interacts with a receptor to effect a change in the activity of the receptor to control the survival, growth, differentiation and effector function of tissues and cells. [ISBN:0198599471, PMID:11530802]
13	GO:0071674	14.667	0.0	The movement of a mononuclear cell within or between different tissues and organs of the body. [GOC:mah]
14	GO:0001664	14.098900000000027	0.0	Binding to a G protein-coupled receptor. [GOC:ceb, GOC:dph]
15	GO:0008009	14.024333333333335	0.0	The function of a family of small chemotactic cytokines; their name is derived from their ability to induce directed chemotaxis in nearby responsive cells. All chemokines possess a number of conserved cysteine residues involved in intramolecular disulfide bond formation. Some chemokines are considered pro-inflammatory and can be induced during an immune response to recruit cells of the immune system to a site of infection, while others are considered homeostatic and are involved in controlling the migration of cells during normal processes of tissue maintenance or development. Chemokines are found in all vertebrates, some viruses and some bacteria. [GOC:BHF, GOC:rl, PMID:12183377, Wikipedia:Chemokine]
16	GO:0070374	13.775830952380993	0.0	Any process that activates or increases the frequency, rate or extent of signal transduction mediated by the ERK1 and ERK2 cascade. [GOC:mah]
17	GO:0002687	13.59680000000002	0.0	Any process that activates or increases the frequency, rate, or extent of leukocyte migration. [GOC:add]
18	GO:0034612	13.57325	0.0	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a tumor necrosis factor stimulus. [GOC:mah]
19	GO:0002685	12.897333333333357	0.0	Any process that modulates the frequency, rate, or extent of leukocyte migration. [GOC:add]
20	GO:1903039	12.803428571428542	0.0	Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]
21	GO:0019221	12.690757539682494	0.0	The series of molecular signals initiated by the binding of a cytokine to a receptor on the surface of a cell, and ending with the regulation of a downstream cellular process, e.g. transcription. [GOC:mah, GOC:signaling, PMID:19295629]
22	GO:0072676	12.505999999999998	0.0	The movement of a lymphocyte within or between different tissues and organs of the body. [CL:0000542, GOC:BHF, GOC:mah]
23	GO:0022409	12.481100000000005	0.0	Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]
24	GO:0048020	12.154000000000002	0.0	Binding to a CCR chemokine receptor. [GOC:ai]
25	GO:0070372	12.086103174603153	0.0	Any process that modulates the frequency, rate or extent of signal transduction mediated by the ERK1 and ERK2 cascade. [GOC:add, ISBN:0121245462, ISBN:0896039986]
26	GO:0032496	12.060534090909094	0.0	Any process that results in a change in state or activity of an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lipopolysaccharide stimulus; lipopolysaccharide is a major component of the cell wall of gram-negative bacteria. [GOC:add, ISBN:0721601464]
27	GO:0050870	11.727678571428552	0.0	Any process that activates or increases the frequency, rate or extent of T cell activation. [GOC:ai]
28	GO:0002688	11.672083333333342	0.0	Any process that modulates the frequency, rate, or extent of leukocyte chemotaxis. [GOC:add]
29	GO:0002690	11.66	0.0	Any process that activates or increases the frequency, rate, or extent of leukocyte chemotaxis. [GOC:add]
30	GO:0006935	11.586450000000005	0.0	The directed movement of a motile cell or organism, or the directed growth of a cell guided by a specific chemical concentration gradient. Movement may be towards a higher concentration (positive chemotaxis) or towards a lower concentration (negative chemotaxis). [ISBN:0198506732]
31	GO:0042330	11.553650000000005	0.0	The directed movement of a motile cell or organism in response to an external stimulus. [GOC:jl, ISBN:0192801023]
32	GO:0071346	11.491416666666668	0.0	Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an interferon-gamma stimulus. Interferon gamma is the only member of the type II interferon found so far. [GOC:mah]
33	GO:0002237	11.486384090909095	0.0	Any process that results in a change in state or activity of an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus by molecules of bacterial origin such as peptides derived from bacterial flagellin. [GOC:rl, GOC:sm]
34	GO:0097305	11.40825	0.0	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an alcohol stimulus. [GOC:pr, PMID:24014527]
35	GO:0040011	11.255733333333339	0.0	Self-propelled movement of a cell or organism from one location to another. [GOC:dgh]
36	GO:0071677	11.230666666666664	0.0	Any process that increases the rate, frequency or extent of mononuclear cell migration. Mononuclear cell migration is the movement of a mononuclear cell within or between different tissues and organs of the body. [GOC:mah]
37	GO:0050921	11.190400000000004	0.0	Any process that activates or increases the frequency, rate or extent of the directed movement of a motile cell or organism in response to a specific chemical concentration gradient. [GOC:ai]
38	GO:0032103	11.138061507936527	0.0	Any process that activates, maintains or increases the rate of a response to an external stimulus. [GOC:mah]
39	GO:0050727	11.10192380952381	0.0	Any process that modulates the frequency, rate or extent of the inflammatory response, the immediate defensive reaction (by vertebrate tissue) to infection or injury caused by chemical or physical agents. [GOC:ai]
40	GO:0002548	11.0	0.0	The movement of a monocyte in response to an external stimulus. [GOC:add, PMID:11696603, PMID:15173832]
41	GO:0048247	10.991	0.0	The directed movement of a lymphocyte in response to an external stimulus. [GOC:hjd, GOC:jid, PMID:12391252]
42	GO:1901216	10.966583333333332	0.0	Any process that activates or increases the frequency, rate or extent of neuron death. [GOC:rph, GOC:TermGenie]
43	GO:0006954	10.944476190476193	0.0	The immediate defensive reaction (by vertebrate tissue) to infection or injury caused by chemical or physical agents. The process is characterized by local vasodilation, extravasation of plasma into intercellular spaces and accumulation of white blood cells and macrophages. [GO_REF:0000022, ISBN:0198506732]
44	GO:0031334	10.8494	0.0	Any process that activates or increases the frequency, rate or extent of protein complex assembly. [GOC:mah]
45	GO:0019722	10.8108	0.0	Any intracellular signal transduction in which the signal is passed on within the cell via calcium ions. [GOC:signaling]
46	GO:0071222	10.728625	0.0	Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lipopolysaccharide stimulus; lipopolysaccharide is a major component of the cell wall of gram-negative bacteria. [GOC:mah]
47	GO:0071356	10.6914	0.0	Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a tumor necrosis factor stimulus. [GOC:mah]
48	GO:0071347	10.675333333333333	0.0	Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an interleukin-1 stimulus. [GOC:mah]
49	GO:0050729	10.585599999999998	0.0	Any process that activates or increases the frequency, rate or extent of the inflammatory response. [GOC:ai]
50	GO:0071345	10.482119047619042	0.0	Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cytokine stimulus. [GOC:mah]
51	GO:0043410	10.470169805194784	0.0	Any process that activates or increases the frequency, rate or extent of signal transduction mediated by the MAPK cascade. [GOC:go_curators]
52	GO:0052548	10.370295238095247	0.0	Any process that modulates the frequency, rate or extent of endopeptidase activity, the endohydrolysis of peptide bonds within proteins. [GOC:ai, GOC:hjd]
53	GO:0070851	10.325883333333335	0.0	Binding to a growth factor receptor. [GOC:mah, GOC:vw]
54	GO:1903037	10.318489682539665	0.0	Any process that modulates the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]
55	GO:0071219	10.28379166666667	0.0	Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus by molecules of bacterial origin such as peptides derived from bacterial flagellin. [GOC:mah]
56	GO:0051897	10.14815	0.0	Any process that activates or increases the frequency, rate or extent of protein kinase B signaling, a series of reactions mediated by the intracellular serine/threonine kinase protein kinase B. [GOC:ai]
57	GO:0019932	10.119246428571431	0.0	Any intracellular signal transduction in which the signal is passed on within the cell via a second messenger; a small molecule or ion that can be quickly generated or released from intracellular stores, and can diffuse within the cell. Second-messenger signaling includes production or release of the second messenger, and effectors downstream of the second messenger that further transmit the signal within the cell. [GOC:signaling, ISBN:0815316194, PMID:15221855, Wikipedia:Second_messenger_system]
58	GO:0030546	10.111401587301595	0.0	The function of interacting (directly or indirectly) with receptors such that the proportion of receptors in the active form is increased. [GOC:ceb]
59	GO:0001819	10.10499134199134	0.0	Any process that activates or increases the frequency, rate or extent of production of a cytokine. [GOC:add, ISBN:0781735149]
60	GO:0045121	10.036696428571428	0.0	Any of the small (10-200 nm), heterogeneous, highly dynamic, sterol- and sphingolipid-enriched membrane domains that compartmentalize cellular processes. Small rafts can sometimes be stabilized to form larger platforms through protein-protein and protein-lipid interactions. [PMID:16645198, PMID:20044567]
61	GO:0098857	10.036696428571428	0.0	A membrane region with a lipid composition that is distinct from that of the membrane regions that surround it. [PMID:20044567, PMID:26253820]
62	GO:0000165	9.99323095238096	0.0	An intracellular protein kinase cascade containing at least a MAPK, a MAPKK and a MAP3K. The cascade can also contain an additional tiers
63	GO:0050863	9.974025000000008	0.0	Any process that modulates the frequency, rate or extent of T cell activation. [GOC:ai]
64	GO:0045785	9.962390476190473	0.0	Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]
65	GO:0050920	9.91563333333333	0.0	Any process that modulates the frequency, rate or extent of the directed movement of a motile cell or organism in response to a specific chemical concentration gradient. [GOC:ai]
66	GO:0052547	9.910752380952378	0.0	Any process that modulates the frequency, rate or extent of peptidase activity, the hydrolysis of peptide bonds within proteins. [GOC:ai]
67	GO:0071216	9.881825	0.0	Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a biotic stimulus, a stimulus caused or produced by a living organism. [GOC:mah]
68	GO:0031349	9.845535714285713	0.0	Any process that activates or increases the frequency, rate or extent of a defense response. [GOC:mah]
69	GO:0002822	9.842199999999998	0.0	Any process that modulates the frequency, rate, or extent of an adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains. An example of this process is found in the Gnathostomata. [GOC:add, GOC:mtg_sensu]
70	GO:0032651	9.787666666666668	0.0	Any process that modulates the frequency, rate, or extent of interleukin-1 beta production. [GOC:mah]
71	GO:0032760	9.7105	0.0	Any process that activates or increases the frequency, rate or extent of tumor necrosis factor production. [GO_REF:0000058, GOC:TermGenie, PMID:10891884, PMID:15560120]
72	GO:0071396	9.70701666666667	0.0	Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lipid stimulus. [GOC:mah]
73	GO:0032731	9.6385	0.0	Any process that activates or increases the frequency, rate, or extent of interleukin-1 beta production. [GOC:mah]
74	GO:1903557	9.6295	0.0	Any process that activates or increases the frequency, rate or extent of tumor necrosis factor superfamily cytokine production. [GO_REF:0000058, GOC:TermGenie, PMID:24187568]
75	GO:2000401	9.5255	0.0	Any process that modulates the frequency, rate or extent of lymphocyte migration. [GOC:mah]
76	GO:0042129	9.503314285714287	0.0	Any process that modulates the frequency, rate or extent of T cell proliferation. [GOC:jl]
77	GO:0050671	9.48506666666667	0.0	Any process that activates or increases the rate or extent of lymphocyte proliferation. [GOC:ai]
78	GO:0032732	9.4755	0.0	Any process that activates or increases the frequency, rate, or extent of interleukin-1 production. [GOC:mah]
