ENSID,Symbol,Pubmed_IDs,Mammal,Parasite,Physical Interaction,Association,Knockout,Overexpression,Expression Change
ENSG00000163631,ALB,16120247*9780825*23961068*9226955*3444610*27413291*18198540*25653743*23116898*19654011*1283805*27815652*27169586*22785130*11432430*12625400*28096609*26063986*27605754*26082008*23718650,dog*sheep*gerbil*goat*horse*mouse*human*buffalo*cow*cat,B.divergens*B.annae*B.ovis* Rangelia vitalii*B.equi*B.unknown*P.berghei*P.yoelii*P.falciparum*T.annulata*Cytauxzoon felis,TRUE,TRUE,TRUE,TRUE,TRUE
ENSG00000120053,GOT1,1267589* 23070434*9780825*23961068*1025851*16112810*18198540*17207084*17679513 23070434*27605754*18575973*22785130*623617*12625400*21451992*23186228*27046990*9778780*28096609*27242073*26063986*19127327,dog*sheep*gerbil*cow*human*buffalo*cougar,B.divergens*Rangelia vitalii*B.canis*B.bovis*B.ovis*P.falciparum*T.annulata*T.lestoquardi*Cytauxzoon felis,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000125538,IL1B,10948137*23467990*24188121*19308263*19783673*23217179*17349871*19696895*26491700*22785130*19194076*11193699*8947595*8536365*15113657*25467887*23718659,cow*dog*human*mouse*buffalo*goat*sheep*cat,Rangelia vitalii*B.bovis*P.falciparum*hemozoin*P.vivax*P.chabaudi*T.annulata*T.parva*Rangelia vitalii*Cytauxzoon felis,FALSE,TRUE,TRUE,FALSE,TRUE
ENSG00000232810,TNF,10958449*23286221*9819767*27842609*19910051*23467990*24553975*23718659*22785130*12969376*24626571*8536365*1570169*1937812*7533283*20607396*15113657*10948137*25467887*2572511*26902728*26491700*27168977*26088606*24098393*25128199*25451296*27042299*19308263*24388751*23217179*22615793*22673309*14504653*28122790*27581163*27441662,human*mouse*dog*cow*mouse*horse*buffalo*goat*sheep*cat,P.falciparum*P.vivax*P.berghei*B.caballi*B.WA-1*B.canis*B.bovis*Rangelia vitalii*T.annulata*T.parva*Cytauxzoon felis,FALSE,TRUE,TRUE,TRUE,TRUE
ENSG00000007171,NOS2,10614497*9712758*10948137*11254571*11589775*15604482*21959890*12696008*20307316*26194693*27790644*22854202*25467887,cow*mouse*human*buffalo*cat,B.microti*B.bovis*P.falciparum*P.berghei*hemozoin*T.parva*Cytauxzoon felis,FALSE,TRUE,TRUE,FALSE,TRUE
ENSG00000121691,CAT,22921498*23558234*27260803*22875672*25086493*18378268*25136591*22030375* 22387140*25573779*17207084*26267795*23872112*22396790*1316884*26499384*27810201*19559534*21481533*21301875*16901649,sheep*cow*gerbil*mouse*goat*dog*human*macaque*horse*buffalo,B.bigemina*B.divergens*B.ovis*B.rodhaini*Rangelia vitalii*P.vivax*P.falciparum*P.berghei*P.knowlesi*T.equi*T.annulata,FALSE,TRUE,FALSE,TRUE,TRUE
ENSG00000113302,IL12B,10948137*12940961*9626331*11589775*12381584*27306898*12654819*11254571*24139871*23071570*26602091*22785130*8947595,cow*mouse*human*buffalo,B.WA1*B.microti*B.rodhaini*B.bovis*P.vivax*P.falciparum*T.annulata,FALSE,TRUE,TRUE,FALSE,TRUE
ENSG00000162551,ALPL,9780825*27876993*12024299*16112810*18198540*26375547*24827088*27051422*18575973*22785130*9778780*28096609,dog*sheep*human*cow*buffalo,B.canis*B.gibsoni*B.ovis*P.falciparum*P.vivax*T.annulata,FALSE,FALSE,FALSE,FALSE,TRUE
ENSG00000160211,G6PD,25086493*3795141*25261933*23614351*25885177*26686045*26687956*19559534*16195933*16901649*22785130*14703730,sheep*cow*human*buffalo,B.bigemina*B.bovis*B.unknown*P.falciparum*P.vivax*T.annulata*sergenti,FALSE,TRUE,FALSE,FALSE,TRUE
ENSG00000141510,TP53,23478020*20686121*26491700*25648263*12183040*20208567*19605894,human*mouse*cow*cat,hemozoin*P.berghei*P.yoelii*T.annulata*Cytauxzoon felis,FALSE,FALSE,TRUE,TRUE,TRUE
