Abstract,Score,Verified by David ,Gene(s),Species(s)
10807402.txt,2,2,COX-2,H. pylori
10948173.txt,2,2,hBD-2,H. pylori
10950785.txt,2,2,CXCR2,"M. tuberculosis,S. aureus"
11119516.txt,1,,"p59Fyn andp60Src",P. aeruginosa
11179291.txt,1,,MAP kinases p46 and p52 Shc isoforms,Escherichia coli 
11254553.txt,2,,"KC, MIP-2, and LIX , IL-12",L. pneumophila
11292739.txt,2,,"Bad, Bid",H. pylori
11466338.txt,2,,"IL-4, CD30",M. tuberculosis
11500432.txt,2,,"CXCR2, IL-8",HGE bacteria
11531949.txt,1,,"CXCR1, CXCR2, IL-8",S. aureus
11751976.txt,2,,"hBD-2, p38, c-JunNH(2)-terminal kinase(JNK)",Fusobacterium nucleatum
12011031.txt,1,,"CD14, IL-8",Porphyromonas gingivalis
12472841.txt,1,,CD4 and CD8,Porphyromonas gingivalis
12488564.txt,2,,hBD-2,H. pylori
12761119.txt,2,,IL-8 receptor (IL-8R),H. pylori
14760942.txt,2,,"PGE2,cyclooxygenase-2,hBD-2","Actinobacillusactinomycetemcomitans"
15039304.txt,1-2,,"caspase-3, CD14/toll-like receptor 4 (TLR4), Akt, Bad",Actinobacillus actinomycetemcomitans
15452181.txt,1-1,,"BH3-only proteins Bim/Bod, Puma, Bad",Chlamydia
15557597.txt,2,,"IL-8, Groalpha, CXCR1, CXCR2",Helicobacter pylori
15617521.txt,2,,bfl-1,Anaplasma phagocytophilum
15664914.txt,1,,ICAM-1,Helicobacter pylori 
15731037.txt,2,,"proapoptotic Bcl-2 family members (BH3-only proteins) Bim, Puma, and Bad ",Chlamydiae
15829401.txt,2,,IFN-gamma,Mycobacterium bovis Bacille Calmette Guérin (BCG)
15864780.txt,2,,"p38, hBD2, hBD3",S. aureus
15887115.txt,2,,"retinoblastoma protein, G1 cyclin-dependent kinase, cyclin D3, cyclin E, cyclin-dependent kinase inhibitor p27Kip1",Helicobacter pylori 
15940666.txt,2,,"IL-4, IFN-gamma",Salmonella enterica serovar Typhimurium 
16040961.txt,1,, HBD-2,Mycobacterium tuberculosis H37Rv
16081829.txt,2,,"Bad, 14-3-3, and Omi/high-temperature requirement A2, cytochrome c. caspase-9, caspase-3",group B Streptococcus agalactiae 
16107279.txt,2,,IFN-gamma,Lactobacilli
16113266.txt,1,,"beta(2) integrin CD11a/CD18, caspase-3, caspase-9, Bax, BAD, Bcl-2, Bcl(XL), Akt-1, cytochrome c ",Mannheimia haemolytica
16184519.txt,2,,VEGF,Helicobacter pylori
16299317.txt,2,,"procaspase-3, p38 mitogen-activated protein kinase (MAPK), ",Anaplasma phagocytophilum
16369686.txt,2,,"calcineurin, NFAT-3, Bad",Porphyromonas gingivalis
24196432,1,1,CD1,Rhodococcus equi
23545566,2,2,TLR4,Sphingobacterium spiritivorum
23307809,1,1,CD1d,Mycobacterium tuberculosis or Corynebacterium glutamicum 
23189125,1&2,1&2,1 (CD1d) and 2 (CXCR5),Chlamydia muridarum
22728762,1,1,CD1d,Chlamydia muridarum
22551807,2,2,p38,Borrelia burgdorferi
22069376,1,1,iNKT TCR,Streptococcus pneumoniae
21892173,1,1,CD1d,Streptococcus pneumoniae and B Streptococcus
21628519,1,1,"1: Vβ8, 2: Jα18 -- to do: what gene is this in HGNC?",staphylococcal enterotoxin B (SEB)
11500432,2,2,cxcr,human granulocytic ehrlichiosis 
31857085,1,1,The gene name is E-cadherin (look up gene name),Bacteroides fragilis
26557697,2,2,"AKT, BIM, and BAD",Helicobacter pylori
23509146,2,2,"cIAP-2, clusterin, livin, and P21/CIP/CDNK1A, RANKL",Brucella abortus
17929089,2,2,"c-fos and c-jun and activator protein-1 (AP-1), Bad, Bak",Staphylococcus aureus
17894423,2,2,"Bad, cytosolic cytochrome c (cyt c), and caspase-9 ",Porphyromonas gingivalis 
16710454,1,1,"(14-3-3beta ) AND 2(PI3K, AKT, BAD)",Chlamydia trachomatis
16369686,2,2,"calcineurin protein, NFAT-3 protein , BAD",Porphyromonas gingivalis
16113266,1,1,"beta(2) integrin CD11a/CD18), 2(caspase-3 and caspase-9, AKT, Bcl-2, Bcl(XL))",Mannheimia haemolytica 
16081829,2,2,"Bad, 14-3-3, Omi/high-temperature requirement A2, caspase-9, caspase-3)",group B Streptococcus agalactiae
15731037,2,2,"Bim, Puma, Bad, Bmf, Noxa, and tBid",Chlamydia trachomatis
11292739,2,2,"caspase-8, caspase-9, caspase-3, Bad, Bid",Helicobacter pylori
9632691,1,1,14-3-3,Pseudomonas aeruginosa
14635040,2,2,macrophage inflammatory protein (MIP)-2 and TNF-alpha,Streptococcus pneumoniae
32777979,1,,PNPLA2/ATGL,Burkholderia pseudomallei
32116095,1,1,GTPase RAB26,Coxiella burnetii
20828565,1,1,N-terminal amino-acids of Aβ(1-42) ,Streptomyces sp.
19309365,2,,TGF-beta/fibronectin/alpha 5 beta 1 integrin pathway,streptococci
16493599,1 or 2?,,interferon-gamma (IFN-gamma),group A streptococc
16482216,1,1,PI3-kinase/Akt,Shigella flexneri
16426773,2,,INF-gamma, Mycoplasma hyopneumoniae & Salmonella typhimurium
20630471,2,,CTLA-4,Escherichia coli 
12472841,1,1,CD4 and CD8,Porphyromonas gingivalis
24325366,2,2,caspase 8 and 3 ,Pseudomonas aeruginosa 
32566588,2,2,Bactericidal/permeability-increasing (BPI)-fold-containing family B member 1 (BPIFB1),"No specific bacteria mentioned, Gram-Negative Bacteria"
23746244,2,2,"CD14, TLR4 and MyD88 ",P.aeruginosa
25352374,2,2,IL-8  and ELOVL4,Staphylococcus aureus
32634127,2,2,ARRDC3,Helicobacter pylori
31010851,1,1,CXCL8,Streptococcus pyogenes
28939643,2,2,IL-17A and G protein-coupled receptor kinase-6 (GRK6,Escherichia coli
16299317,2,2,p38 mitogen-activated protein kinase (MAPK),Anaplasma phagocytophilum
15358660,2,2,interleukin-8 ,Anaplasma phagocytophilum
11531949,2,2,CXCR1 and CXCR2,Staphylococcus aureus
2237403,1,,"araBAD, AraC",Escherichia coli
19933855,1,,"CXCL13, CCL21, and CCL19",Mycobacterium tuberculosis
19855398,1,,"CCL21 and CXCL13, Socs3, Smad3",Salmonella typhimurium 
12538673,2,,"CCR7, IFN-alpha beta and IL-12, CCL3 and CCL4",Mycobacterium tuberculosis
12071677,2,,"MHC class II, CCR7",Salmonella typhimurium
11918712,2,,"interleukin-1alpha, interleukin-1beta, tumor necrosis factor, Exodus-2, P-selectin ligand, granulocyte-monocyte colony-stimulating factor, and interleukin-8","Candida albicans, C. tropicalis, and C. glabrata"
31805013,2,,"EGFRi, MEKi, IL-36γ and IL-8, KLF4",bacterium Cutibacterium
29914927,2,,"IL-36y, PGLYRP2, MAP",Porphyromonas gingivalis
29194752,2,,"CCL2, CCL3, CCL20, CXCL1, CXCL2 and IL1A, IL1B, IL6, IL23, IL36G, TNF",Streptococcus mitis
27389350,1,,"IL-36γ, MyD88, IL-1β and interleukin 18",Mycobacterium tuberculosis
26940070,2,," CD44 and Lgr5, Nanog, Oct4 and c-myc",Helicobacter pylori
