abstract,1,2,3,4,5,6,7,8,9,10,Nada,Henry,Bacteria,Protein
10022073.txt,0,0,0,0,0,0,0,0,0,0,,,,
10024564.txt,0,0,0,0,0,0,0,0,0,0,,,,
10024591.txt,0,0,0,0,0,0,0,0,0,0,,,,
10027784.txt,0,0,0,0,0,0,0,0,0,0,,,,
10029305.txt,0,0,0,0,0,0,0,0,0,0,,,,
10036948.txt,0,0,0,0,0,0,0,0,0,0,,,,
10037686.txt,0,0,0,0,0,0,0,0,0,0,,,,
10066342.txt,0,0,0,0,0,0,0,0,0,0,,,,
10066348.txt,0,0,0,0,0,0,0,0,0,0,,,,
10066438.txt,0,0,0,0,0,0,0,0,0,0,,,,
10071162.txt,0,0,0,0,0,0,0,0,0,0,,,,
10074523.txt,0,0,0,0,0,0,0,0,0,0,,,,
10074906.txt,0,0,0,0,0,0,0,0,0,0,,,,
10075859.txt,0,0,0,0,0,0,0,0,0,0,,,,
10075994.txt,0,0,0,0,0,0,0,0,0,0,,,,
10077767.txt,0,0,0,0,0,0,0,0,0,0,,,,
10078535.txt,0,0,0,0,0,0,0,0,0,0,,,,
10080542.txt,0,0,0,0,0,0,0,0,0,0,,,,
10083755.txt,0,0,0,0,0,0,0,0,0,0,,,,
10084141.txt,0,0,0,0,0,0,0,0,0,0,,,,
10084995.txt,0,0,0,0,0,0,0,0,0,0,,,,
10085025.txt,0,0,0,0,0,0,0,0,0,0,,,,
10085129.txt,0,0,0,0,0,0,0,0,0,0,,,,
1008555.txt,0,0,0,0,0,0,0,0,0,0,,,,
10089335.txt,0,0,0,0,0,0,0,0,0,0,,,,
10089389.txt,0,0,0,0,0,0,0,0,0,0,,,,
10090924.txt,0,0,0,0,0,1,1,1,0,0,0,0,,
10091329.txt,0,0,0,0,0,0,0,0,0,0,,,,
10092094.txt,0,0,0,0,0,0,0,0,0,0,,,,
10092696.txt,0,0,0,0,0,0,0,0,0,0,,,,
10096493.txt,0,0,0,0,0,0,0,0,0,0,,,,
10099223.txt,0,0,0,0,0,0,0,0,0,0,,,,
10101573.txt,0,0,0,0,0,0,0,0,0,0,,,,
10198012.txt,0,0,0,0,0,0,0,0,0,0,,,,
10198604.txt,0,0,0,0,0,0,0,0,0,0,,,,
10201938.txt,0,0,0,0,0,0,0,0,0,0,,,,
10202118.txt,0,0,0,0,0,0,0,0,0,0,,,,
10205156.txt,0,0,0,0,0,0,0,0,0,0,,,,
10209289.txt,0,0,0,0,0,0,0,0,0,0,,,,
10209816.txt,0,0,0,0,0,0,0,0,0,0,,,,
10212929.txt,0,0,0,0,0,0,0,0,0,0,,,,
10213993.txt,0,0,0,0,0,0,0,0,0,0,,,,
10214855.txt,0,0,0,0,0,0,0,0,0,0,,,,
10219581.txt,0,0,0,0,0,0,0,0,0,0,,,,
10219589.txt,0,0,0,0,0,0,0,0,0,0,,,,
10220900.txt,0,0,0,0,0,0,0,0,0,0,,,,
10221658.txt,0,0,0,0,0,0,0,0,0,0,,,,
10222066.txt,0,0,0,0,0,0,0,0,0,0,,,,
10223091.txt,0,0,0,0,0,0,0,0,0,0,,,,
10225543.txt,0,0,0,0,0,0,0,0,0,0,,,,
10228112.txt,0,0,0,0,0,0,0,0,0,0,,,,
10229088.txt,0,0,0,0,0,0,0,0,0,0,,,,
10229814.txt,0,0,0,0,0,0,0,0,0,0,,,,
10229820.txt,0,0,0,0,0,0,0,0,0,0,,,,
10229827.txt,0,0,0,0,0,0,0,0,0,0,,,,
10233361.txt,0,0,0,0,0,0,0,0,0,0,,,,
10233618.txt,0,0,0,0,0,0,0,0,0,0,,,,
10233747.txt,0,0,0,0,0,0,0,0,0,0,,,,
10233884.txt,0,0,0,0,0,0,0,0,0,0,,,,
1023417.txt,0,0,0,0,0,0,0,0,0,0,,,,
10292084.txt,0,0,0,0,0,0,0,0,0,0,,,,
10323348.txt,0,0,0,0,0,0,0,0,0,0,,,,
10326234.txt,0,0,0,0,0,0,0,0,0,0,,,,
10327564.txt,0,0,0,0,0,0,0,0,0,0,,,,
10329792.txt,0,0,0,0,0,0,0,0,0,0,,,,
10330272.txt,0,0,0,0,0,0,0,0,0,0,,,,
10330280.txt,0,0,0,0,0,0,0,0,0,0,,,,
10330325.txt,0,0,0,0,0,0,0,0,0,0,,,,
10340175.txt,0,0,0,0,0,0,0,0,0,0,,,,
10347123.txt,1,1,1,1,1,1,1,1,1,1,2,2,Salmonella,ALT
10349175.txt,0,0,0,0,0,0,0,0,0,0,,,,
10354596.txt,0,0,0,0,0,0,0,0,0,0,,,,
10363727.txt,0,0,0,0,0,0,0,0,0,0,,,,
10364241.txt,0,0,0,0,0,0,0,0,0,0,,,,
10365530.txt,0,0,0,0,0,0,0,0,0,0,,,,
10366147.txt,0,0,0,0,0,0,0,0,0,0,,,,
1036644.txt,0,0,0,0,0,0,0,0,0,0,,,,
10371507.txt,0,0,0,0,0,0,0,0,0,0,,,,
10376594.txt,0,0,0,0,0,0,0,0,0,0,,,,
10377120.txt,0,0,0,0,0,0,0,0,0,0,,,,
10377137.txt,0,0,0,0,0,0,0,0,0,0,,,,
10377158.txt,0,0,0,0,0,0,0,1,0,0,,,,
10377193.txt,0,0,0,0,0,0,0,0,0,0,,,,
10378866.txt,0,0,0,0,0,0,0,0,0,0,,,,
10383138.txt,0,1,0,0,1,0,0,1,0,1,0,0,,
10383417.txt,0,0,0,0,0,0,0,0,0,0,,,,
10383950.txt,0,0,0,0,0,0,0,0,0,0,,,,
10384150.txt,0,0,0,0,0,0,0,0,0,0,,,,
10387049.txt,0,0,0,0,0,0,0,0,0,0,,,,
103886.txt,0,0,0,0,0,0,0,0,0,0,,,,
10388781.txt,0,0,0,0,0,0,0,0,0,0,,,,
10395678.txt,0,0,0,0,0,0,0,0,0,0,,,,
10397191.txt,0,0,0,0,0,0,0,0,0,0,,,,
10401582.txt,0,0,0,0,0,0,0,0,0,0,,,,
10403485.txt,0,0,0,0,0,0,0,0,0,0,,,,
10404339.txt,0,0,0,0,0,0,0,0,0,0,,,,
10404341.txt,0,0,0,0,0,0,0,0,0,0,,,,
10404637.txt,0,0,0,0,0,0,0,0,0,0,,,,
10405321.txt,0,0,0,0,0,0,0,0,0,0,,,,
10406012.txt,0,0,0,0,0,0,0,0,0,0,,,,
10409246.txt,0,0,0,0,0,0,0,0,0,0,,,,
10413212.txt,0,0,0,0,0,0,0,0,0,0,,,,
10415017.txt,0,0,0,0,0,0,0,0,0,0,,,,
10416132.txt,0,0,0,0,0,0,0,0,0,0,,,,
10417019.txt,0,0,0,0,0,0,0,0,0,0,,,,
10417177.txt,0,0,0,0,0,0,0,0,0,0,,,,
10417764.txt,0,0,0,0,0,0,0,0,0,0,,,,
10418099.txt,0,0,0,0,0,0,0,0,0,0,,,,
10419455.txt,0,0,0,0,0,0,0,0,0,0,,,,
10425168.txt,0,0,0,0,0,0,0,0,0,0,,,,
10427690.txt,0,0,0,0,0,0,0,0,0,0,,,,
10429922.txt,0,0,0,0,0,0,0,0,0,0,,,,
10433702.txt,0,0,0,0,0,0,0,0,0,0,,,,
10438885.txt,0,0,0,0,0,0,0,0,0,0,,,,
10438907.txt,0,0,0,0,0,0,0,0,0,0,,,,
10438919.txt,0,0,0,0,0,0,0,0,0,0,,,,
10440639.txt,0,0,0,0,0,0,0,0,0,0,,,,
10440671.txt,0,0,0,0,0,0,0,0,0,0,,,,
10441639.txt,0,0,0,0,0,0,0,0,0,0,,,,
10447109.txt,0,0,0,0,0,0,0,0,0,0,,,,
10448711.txt,0,0,0,0,0,0,0,0,0,0,,,,
10449487.txt,0,0,0,0,0,0,0,0,0,0,,,,
10449770.txt,0,0,0,0,0,0,0,0,0,0,,,,
10450506.txt,0,0,0,0,0,0,0,0,0,0,,,,
10452969.txt,0,0,0,0,0,0,0,0,0,0,,,,
10452999.txt,0,0,0,0,0,0,0,0,0,0,,,,
10453000.txt,0,0,0,0,0,0,0,0,0,0,,,,
10453028.txt,0,0,0,0,0,0,0,0,0,0,,,,
10454630.txt,0,0,0,0,0,0,0,0,0,0,,,,
10455341.txt,0,0,0,0,0,0,0,0,0,0,,,,
10456882.txt,0,0,0,0,0,0,0,0,0,0,,,,
10463181.txt,0,0,0,0,0,0,0,0,0,0,,,,
10467983.txt,0,0,0,0,0,0,0,0,0,0,,,,
10469230.txt,0,0,0,0,0,0,0,0,0,0,,,,
10476967.txt,0,0,0,0,0,0,0,0,0,0,,,,
10477369.txt,0,0,0,0,0,0,0,0,0,0,,,,
10477552.txt,0,0,0,0,0,0,0,0,0,0,,,,
10477744.txt,0,0,0,0,0,0,0,0,0,0,,,,
10480925.txt,0,0,0,0,0,0,0,0,0,0,,,,
10483725.txt,0,0,0,0,0,0,0,0,0,0,,,,
10487222.txt,0,0,0,0,0,0,0,0,0,0,,,,
10488095.txt,0,0,0,0,0,0,0,0,0,0,,,,
10489112.txt,0,0,0,0,0,0,0,0,0,0,,,,
10489498.txt,0,0,0,0,0,0,0,0,0,0,,,,
10490950.txt,0,0,0,0,0,0,0,0,0,0,,,,
10491099.txt,0,0,0,0,0,0,0,0,0,0,,,,
10493519.txt,0,0,0,0,0,0,0,0,0,0,,,,
10496316.txt,0,0,0,0,0,0,0,0,0,0,,,,
10497065.txt,0,0,0,0,0,0,0,0,0,0,,,,
10498628.txt,0,0,0,0,0,0,0,0,0,0,,,,
10500166.txt,0,0,0,0,0,0,0,0,0,0,,,,
10502402.txt,0,0,0,0,0,0,1,0,0,0,,,,
10502464.txt,0,0,0,0,0,0,0,0,0,0,,,,
10504411.txt,0,0,0,0,0,0,0,0,0,0,,,,
10507302.txt,0,0,0,0,0,0,0,0,0,0,,,,
10510357.txt,0,0,0,0,0,0,0,0,0,0,,,,
10511881.txt,0,0,0,0,0,0,0,0,0,0,,,,
10512755.txt,0,0,0,0,0,0,0,0,0,1,,,,
10512846.txt,0,0,0,0,0,0,0,0,0,0,,,,
10515871.txt,0,0,0,0,0,0,0,0,0,0,,,,
10519370.txt,0,0,0,0,0,0,0,0,0,0,,,,
10520039.txt,0,0,0,0,0,0,0,0,0,0,,,,
10520522.txt,0,0,0,0,0,0,0,0,0,0,,,,
10520745.txt,0,0,0,0,0,0,0,0,0,0,,,,
10521545.txt,0,0,0,0,0,0,0,0,0,0,,,,
10523605.txt,0,0,0,0,0,0,0,0,0,0,,,,
10526405.txt,0,0,0,0,0,0,0,0,0,0,,,,
10527852.txt,0,0,0,0,0,0,0,0,0,0,,,,
10527890.txt,0,0,0,0,0,0,0,0,0,0,,,,
10535482.txt,0,0,0,0,0,0,0,0,0,1,,,,
10540229.txt,0,0,0,0,0,0,0,0,0,0,,,,
10540746.txt,0,0,0,0,0,0,0,0,0,0,,,,
10541939.txt,0,0,0,0,0,0,0,0,0,0,,,,
10543999.txt,0,0,0,0,0,0,0,0,0,0,,,,
10544192.txt,0,0,0,0,0,0,0,0,0,0,,,,
10548468.txt,0,0,0,0,0,0,0,0,0,0,,,,
10552216.txt,1,1,1,1,1,1,1,1,1,1,N/A,N/A,,
10553905.txt,0,0,0,0,0,0,0,0,0,0,,,,
10558944.txt,0,0,0,0,0,0,0,0,0,0,,,,
10559167.txt,0,0,0,0,0,0,0,0,0,0,,,,
10562063.txt,0,0,0,0,0,0,0,0,0,0,,,,
10562064.txt,0,0,0,0,0,0,0,0,0,0,,,,
10563404.txt,0,0,0,0,0,0,0,0,0,0,,,,
10565540.txt,0,0,0,0,0,0,0,0,0,0,,,,
10567948.txt,0,0,0,0,0,0,0,0,0,0,,,,
10567989.txt,0,0,0,0,0,0,0,0,0,0,,,,
10569753.txt,0,0,0,0,0,0,0,0,0,0,,,,
10570274.txt,0,0,0,0,0,0,0,0,0,0,,,,
10572075.txt,0,0,0,0,0,0,0,0,0,0,,,,
10576705.txt,0,0,0,0,0,0,0,0,0,0,,,,
10577511.txt,0,0,0,0,0,0,0,0,0,0,,,,
10585411.txt,0,0,0,0,0,0,0,0,0,0,,,,
10585541.txt,0,0,0,0,0,0,0,0,0,0,,,,
10586024.txt,0,0,0,0,0,0,0,0,0,0,,,,
10586057.txt,0,0,0,0,0,0,0,0,0,0,,,,
10586069.txt,0,0,0,0,0,0,0,0,0,0,,,,
10586076.txt,0,0,0,0,0,0,0,0,0,0,,,,
10588744.txt,0,0,0,0,0,0,0,0,0,0,,,,
10593938.txt,0,0,0,0,0,0,0,0,0,0,,,,
10598883.txt,0,0,0,0,0,0,0,0,0,0,,,,
10604992.txt,0,0,0,0,0,0,0,0,0,0,,,,
10605004.txt,0,0,0,0,0,0,0,0,0,0,,,,
10605143.txt,0,0,0,0,0,0,0,0,0,0,,,,
10605608.txt,0,0,0,0,0,0,0,0,0,0,,,,
10606765.txt,0,0,0,0,0,0,0,0,0,0,,,,
10606970.txt,0,0,0,0,0,0,0,0,0,0,,,,
10607306.txt,0,0,0,0,0,0,0,0,0,0,,,,
10613822.txt,0,0,0,0,0,0,0,0,0,0,,,,
10614001.txt,0,0,0,0,0,0,0,0,0,0,,,,
10614008.txt,0,0,0,0,0,0,0,0,0,0,,,,
10614683.txt,0,0,0,0,0,0,0,0,0,0,,,,
10615813.txt,0,0,0,0,0,0,0,0,0,0,,,,
10623811.txt,0,0,0,0,0,0,0,0,0,0,,,,
10623839.txt,0,0,0,0,0,0,0,0,0,0,,,,
10626681.txt,0,0,0,0,0,0,0,0,0,0,,,,
10627447.txt,0,0,0,0,0,0,0,0,0,0,,,,
