abstract,rahul_bacteria,anshu_bacteria,rahul_malaria,anshu_malaria
10022062.txt,0,0,0,0
10022073.txt,0,0,0,0
10024564.txt,0,0,1,0
10024591.txt,0,0,1,0
10029305.txt,0,0,0,0
10036948.txt,0,0,0,0
10037680.txt,1,0,0,0
10037686.txt,1,0,1,0
10066342.txt,1,0,1,0
10066348.txt,0,0,1,0
10071162.txt,0,0,0,0
10074523.txt,0,0,0,0
10074906.txt,0,0,1,0
10075859.txt,0,0,1,0
10076634.txt,0,0,0,0
10077767.txt,0,0,0,0
10083755.txt,0,0,0,0
10084141.txt,0,0,0,0
10084995.txt,0,0,1,0
10085025.txt,0,0,0,0
1008555.txt,0,0,0,0
10089333.txt,0,0,0,0
10089335.txt,0,0,0,0
10089343.txt,0,0,0,0
10089389.txt,0,0,0,0
10089419.txt,0,0,0,0
10089438.txt,0,0,0,0
10089444.txt,0,0,0,0
10089517.txt,0,0,0,0
10089530.txt,0,0,0,0
10089536.txt,0,0,0,0
10090924.txt,1,0,1,0
10091329.txt,0,0,0,0
10092094.txt,0,0,0,0
10092612.txt,1,0,1,0
10092696.txt,0,0,1,0
10096019.txt,0,0,0,0
10096493.txt,0,0,0,0
10099223.txt,0,0,0,0
10101573.txt,0,0,0,0
10103033.txt,0,0,0,0
10196119.txt,0,0,0,0
10196756.txt,0,0,0,0
10198031.txt,0,0,0,0
10200265.txt,0,0,0,0
10201936.txt,1,0,0,0
10201938.txt,0,0,1,0
10202118.txt,0,0,1,0
10203434.txt,0,0,0,0
10209816.txt,0,0,1,0
10212929.txt,0,0,0,0
10214855.txt,0,0,0,0
10219581.txt,0,0,0,0
10219589.txt,0,0,0,0
10220321.txt,0,0,0,0
10222066.txt,0,0,1,0
10223091.txt,0,0,0,0
10225543.txt,0,0,1,0
10229088.txt,0,0,1,0
10229800.txt,0,0,0,0
10229814.txt,1,0,1,0
10229820.txt,1,0,1,0
10229827.txt,1,0,1,0
10233618.txt,0,0,0,0
10233747.txt,0,0,1,0
1023417.txt,0,0,0,0
10292084.txt,0,0,0,0
10326234.txt,0,0,0,0
10327564.txt,0,0,0,0
10329700.txt,1,0,0,0
10329771.txt,0,0,0,0
10330272.txt,0,0,1,0
10330325.txt,0,0,0,0
10336454.txt,0,0,0,0
10347123.txt,0,0,1,0
10348816.txt,1,0,1,0
10349175.txt,0,0,0,0
10354596.txt,0,0,0,0
10355788.txt,0,0,0,0
10358095.txt,1,0,0,0
10359764.txt,1,0,0,0
10365530.txt,0,0,0,0
1036644.txt,0,0,0,0
10371507.txt,0,0,0,0
10373440.txt,0,0,0,0
10377120.txt,0,0,0,0
10377193.txt,0,0,1,0
10378866.txt,0,0,1,0
10382758.txt,1,0,1,0
10383138.txt,1,0,1,0
10383950.txt,0,0,1,0
10384150.txt,0,0,1,0
10386873.txt,0,0,0,0
10387049.txt,0,0,0,0
103886.txt,0,0,0,0
10388628.txt,0,0,0,0
10390348.txt,0,0,0,0
10391926.txt,0,0,0,0
10393968.txt,1,0,0,0
10395678.txt,1,0,1,0
10397191.txt,0,0,0,0
10401582.txt,0,0,0,0
10403485.txt,1,0,1,0
10404597.txt,0,0,0,0
10408362.txt,1,0,1,0
104128.txt,0,0,0,0
10415017.txt,0,0,1,0
10416132.txt,0,0,1,0
10417177.txt,0,0,0,0
10417408.txt,0,0,0,0
10418099.txt,0,0,0,0
10427658.txt,0,0,1,0
10427690.txt,0,0,0,0
10438907.txt,0,0,1,0
10440639.txt,0,0,1,0
10440671.txt,0,0,0,0
10441639.txt,0,0,0,0
10448711.txt,0,0,1,0
10449487.txt,0,0,0,0
10449730.txt,1,0,1,0
10450506.txt,0,0,1,0
10452969.txt,0,0,1,0
10453028.txt,0,0,1,0
10454630.txt,1,0,0,0
10456882.txt,0,0,1,0
10457224.txt,1,0,1,0
10463167.txt,0,0,0,0
10463181.txt,0,0,0,0
10464212.txt,0,0,0,0
10466502.txt,0,0,0,0
10467983.txt,0,0,1,0
10469044.txt,0,0,1,0
10469045.txt,1,0,1,1
10469230.txt,0,0,1,0
10473416.txt,0,0,0,0
10476967.txt,0,0,0,0
10477369.txt,0,0,0,0
10477552.txt,0,0,1,0
10477744.txt,0,0,1,0
10479621.txt,0,0,0,0
10483725.txt,0,0,0,0
10483730.txt,1,0,1,0
10484684.txt,0,0,0,0
10487222.txt,0,0,1,0
10488095.txt,1,0,0,0
10489112.txt,0,0,1,0
10489453.txt,0,0,1,0
10489461.txt,0,0,0,0
10489465.txt,0,0,0,0
10489469.txt,0,0,0,0
10489498.txt,0,0,0,0
10490950.txt,0,0,1,0
10491099.txt,0,0,0,0
10491136.txt,0,0,0,0
10496316.txt,1,0,1,0
10497065.txt,0,0,1,0
10498628.txt,0,0,1,0
10502402.txt,1,0,1,0
10504411.txt,0,0,0,0
10504733.txt,0,0,0,0
105067.txt,0,0,1,0
10510357.txt,0,0,1,0
10511881.txt,0,0,0,1
10512711.txt,0,0,0,0
10520745.txt,0,0,0,0
10521545.txt,0,0,1,0
10523605.txt,0,0,1,0
10525053.txt,0,0,0,0
10526405.txt,0,0,0,0
10527852.txt,1,0,1,0
10527937.txt,0,0,0,1
10529180.txt,0,0,0,0
10529193.txt,0,0,0,0
10531496.txt,0,0,0,0
10535482.txt,0,0,1,0
10540229.txt,1,0,1,0
10540746.txt,0,0,0,0
10541939.txt,0,0,0,0
10543999.txt,1,0,1,0
10544192.txt,0,0,0,0
10545200.txt,0,0,0,0
10551785.txt,1,0,1,0
10552216.txt,0,0,0,0
10553905.txt,0,0,0,0
