PubmedID,Maggie,Nandita,David,Melody,Rahul,Anshu,Samantha ,Nada,Henry,Ashwin
24721393,,,,,,,,0,,
24689690,,,,,,,,0,,
24667392,,,,,,,,0,,
24643536,,,,,,,,0,,
24572363,,,,,,,,0,,
24566282,,,,,,,,0,,
24550295,,,,,,,,0,,
24442431,,,,,,,,0,,
24412906,,,,,,,,N/A,,
24412610,,,,,,,,0,,
24391492,,,,,,,,0,,
27390759,,,,,,,,0,,
24248359,,,,,,,,0,,
24244014,,,,,,,,0,,
24196432,,,1,,,,,1,,
24179706,,,,,,,,0,,
24163408,,,,,,,,0,,
24148970,,,,,,,,0,,
24076636,,,,,,,,0,,
24009709,,,,,,,,0,,
23999314,,,,,,,,0,,
23885215,,,,,,,,0,,
23874157,,,,,,,,0,,
23800654,,,,,,,,0,,
23797666,,,,,,,,0,,
23785119,,,,,,,,0,,
23757291,,,,,,,,0,,
23700548,,,,,,,,0,,
23659669,,,,,,,,0,,
23586756,,,,,,,,0,,
23545566,,,2,,,,,1,,
23518808,,,,,,,,0,,
27570795,,,,,,,,0,,
27280122,,,,,,,,0,,
23468111,,,,,,,,0,,
23468110,,,,,,,,0,,
23382238,,,,,,,,0,,
23372642,,,,,,,,0,,
23340309,,,,,,,,0,,
23307809,,,1(CD1d),,,,,1,,
23299308,,,,,,,,0,,
23239102,,,,,,,,0,,
23189125,,,1 (CD1d) and 2 (CXCR5),,,,,1,,
23127489,,,,,,,,0,,
23064364,,,,,,,,0,,
23050947,,,,,,,,0,,
23017731,,,,,,,,0,,
22954709,,,,,,,,0,,
24089657,,,,,,,,0,,
22906987,,,,,,,,0,,
22798686,,,,,,,,0,,
22798677,,,,,,,,0,,
22777932,,,,,,,,0,,
22728762,,,2 (CD1d),,,,,1,,
22724893,,,,,,,0,,,
22723962,,,,,,,0,,,
22683545,,,,,,,0,,,
22551807,,,2,,,,1,,,
22535665,,,,,,,0,,,
22522092,,,,,,,0,,,
22493234,,,,,,,0,,,
22442383,,,,,,,0,,,
22412157,,,,,,,0,,,
22371394,,,,,,,0,,,
22361174,,,,,,,0,,,
22352829,,,,,,,0,,,
22301545,,,,,,,0,,,
22100160,,,,,,,0,,,
22069376,,,1,,,,1,,,
22057113,,,,,,,0,,,
22041925,,,0,,,,1,,,
21996456,,,,,,,0,,,
21959330,,,,,,,0,,,
21912419,,,,,,,0,,,
21896012,,,,,,,0,,,
21892173,,,1(CD1d),,,,1,,,
21875957,,,,,,,0,,,
21860021,,,,,,,0,,,
21858226,,,,,,,0,,,
21844346,,,,,,,0,,,
21804559,,,,,,,0,,,
21772035,,,,,,,0,,,
21747639,,,,,,,0,,,
21738769,,,,,,,0,,,
21666690,,,,,,,0,,,
21646400,,,,,,,0,,,
21628519,,,"1: Vβ8, 2: Jα18 -- to do: what gene is this in HGNC? ",,,,1,,,
21618359,,,,,,,0,,,
21576321,,,don't include because it is on cd1d and we have already identified it as an interacting protein. ,,,,1,,,
21565221,,,,,,,0,,,
21486688,,,,,,,0,,,
21425779,,,,,,,0,,,
21398691,,,,,,,0,,,
21245909,,,,,,,0,,,
21208931,,,,,,,0,,,
21196373,,,,,,,0,,,
21179412,,,,,,,0,,,
21174558,,,,,,,0,,,
21169541,,,,,,,0,,,
21148815,,,,,,,0,,,
21070234,,,,,,,0,,,
21042003,,,,,,,0,,,
20921281,,,,,,,0,,,
20809492,,,,,,,0,,,
20584631,,,,,,,0,,,
20508216,,,,,,,0,,,
20465577,,,,,,,0,,,
20368272,,,,,,,0,,,
20228796,,,,,,,0,,,
20194602,,,"don't include, cd1d",,,,1,,,
20123711,,,,,,,0,,,
20102408,,,,,,,0,,,
20083656,,,,,,,0,,,
20080535,,,,,,,0,,,
20048124,,,,,,,0,,,
19995538,,,,,,,0,,,
19968878,,,,,,,0,,,
19953109,,,,,,,N/A abstract,,,
19945889,,,,,,,0,,,
19945296,,,,,,,0,,,
19859526,,,,,,,0,,,
19824039,,,,,,,0,,,
19816402,,,,,,,0,,,
19808251,,,,,,,0,,,
19779559,,,,,,,0,,,
19627191,,,,,,,0,,,
19620317,,,don't include cd1d,,,,1,,,
19592275,,,,,,,0,,,
19587641,,,,,,,0,,,
19582739,,,,,,,0,,,
19538930,,,,,,,0,,,
19477915,,,,,,,0,,,
19433855,,,,,,,0,,,
19415116,,,,,,,0,,,
19392798,,,,,,,0,,,
19349688,,,,,,,0,,,
19342651,,,,,,,0,,,
19300508,,,don't include cd1d,,,,1,,,
19266487,,,,,,,0,,,
19265151,,,,,,,0,,,
19259343,,,,,,,0,,,
19234176,,,,,,,0,,,
19223852,,,,,,,0,,,
19221394,,,,,,,0,,,
19199937,,,,,,,0,,,
19079582,,,don't include cd1d,,,,1,,,
19053208,,,,,,,0,,,
19007905,,,,,,,0,,,
18982019,,,,,,,0,,,
18981251,,,,,,,0,,,
18930085,,,,,,,0,,,
18832043,,,,,,,0,,,
18779390,,,,,,,0,,,
18772281,,,,,,,0,,,
18624295,,,,,,,0,,,
18606692,,,,,,,0,0,,
18601810,,,,,,,0,0,,
18566372,,,,,,,,0,,
18474357,,,don't include cd1d,,,,,1,,
18458073,,,,,,,,0,,
18451996,,,,,,,,0,,
18417738,,,,,,,,0,,
18350547,,,,,,,,0,,
18346153,,,,,,,,0,,
18342005,,,,,,,,0,,
18321748,,,,,,,,0,,
18308638,,,,,,,,0,,
18304639,,,,,,,,0,,
18250461,,,,,,,,0,,
18250405,,,,,,,,0,,
18248626,,,,,,,,0,,
18212072,,,,,,,,0,,
18205661,,,,,,,,0,,
18097001,,,,,,,,0,,
18077787,,,,,,,,0,,
18031696,,,,,,,,0,,
18024119,,,,,,,,0,,
18008143,,,,,,,,0,,
17998313,,,,,,,,0,,
17785781,,,,,,,,0,,
17726154,,,,,,,,0,,
17725604,,,,,,,,0,,
17705133,,,,,,,,0,,
17662044,,,,,,,,0,,
17635609,,,,,,,,0,,
17617607,,,,,,,,0,,
17600041,,,,,,,,0,,
17593666,,,,,,,,0,,
17589542,,,,,,,,0,,
17475845,,,,,,,,0,,
17454263,,,,,,,,0,,
17442335,,,,,,,,0,,
17428648,,,,,,,,0,,
17397008,,,dont include cd1d,,,,,1,,
17380303,,,,,,,,0,,
17372201,,,,,,,,0,,
17312126,,,,,,,,0,,
17312112,,,,,,,,0,,
17311932,,,,,,,,0,,
17237389,,,,,,,,0,,
17215251,,,dont include cd1d,,,,,1,,
17178921,,,,,,,,,,0
17159227,,,,,,,,,,0
17150027,,,,,,,,,0,
17114455,,,,,,,,,0,
17096643,,,,,,,,,0,
17064698,,,,,,,,,0,
17035093,,,,,,,,,0,
17015711,,,,,,,,,0,
17015708,,,,,,,,,0,
17000869,,,,,,,,,0,
16988270,,,,,,,,,0,
16982895,,,,,,,,,0,
16979364,,,,,,,,,0,
20477630,,,,,,,,,0,
16921381,,,,,,,,,0,
16818759,,,,,,,,,0,
16792697,,,,,,,,,0,
16785522,,,,,,,,,0,
16751404,,,,,,,,,0,
16651387,,,,,,,,,0,
16517731,,,,,,,,,0,
16505140,,,,,,,,,0,
16445682,,,,,,,,,0,
16412042,,,,,,,,,0,
16395717,,,,,,,,,0,
16380491,,,,,,,,,0,
16239118,,,,,,,,,0,
16177083,,,,,,,,,0,
16148122,,,,,,,,,0,
16148102,,,,,,,,,0,
16138194,,,,,,,,,0,
16107279,,,,,,,,,1,
16048435,,,,,,,,,0,
16034117,,,,,,,,,0,
16009719,,,,,,,,,0,
16002715,,,,,,,,,0,
16002672,,,,,,,,,0,
15967785,,,,,,,,,0,
15940666,,,,,,,,,1,
15936267,,,,,,,,,0,
15922714,,,,,,,,,0,
15915536,,,,,,,,,0,
15879881,,,,,,,,,0,
15843569,,,,,,,,,0,
15836790,,,,,,,,,0,
15816002,,,,,,,,,0,
15814694,,,,,,,,,0,
15791258,,,,,,,,,1,
15791257,,,,,,,,,0,
15778340,,,,,,,,,0,
15761849,,,,,,,,,0,
15722411,,,,,,,,,0,
15684665,,,,,,,,,,0
15665086,,,,,,,,,,0
15576595,,,,,,,,,,no abstract
15571070,,,,,,,,,,0
15545985,,,,,,,,,,0
15477656,,,,,,,,,,0
15356115,,,,,,,,,,0
15312134,,,,,,,,,,0
15243159,,,,,,,,,,0
15212710,,,,,,,,,,0
15196206,,,,,,,,,,0
15186263,,,,,,,,,,0
15186260,,,,,,,,,,0
15123775,,,,,,,,,,0
15122754,,,,,,,,,,0
15100269,,,,,,,,,,0
15067039,,,,,,,,,,0
14734115,,,,,,,,,,0
14722359,,,,,,,,,,0
14644037,,,,,,,,,,0
14635040,,,,,,,,,,1
14624311,,,,,,,,,,0
14578883,,,,,,,,,,0
14568927,,,,,,,,,,0
12960397,,,,,,,,,,0
12925210,,,,,,,,,,0
12757612,,,,,,,,,,0
12704118,,,,,,,,,,0
12672074,,,,,,,,,,0
12626573,,,,,,,,,,0
12592074,,,,,,,,,,0
12576547,,,,,,,,,,0
12570826,,,,,,,,,,0
12442327,,,,,,,,,,0
12379709,,,,,,,,,,0
12067632,,,,,,,,,,0
12042809,,,,,,,,,,0
11920590,,,,,,,,,,0
11880205,,,,,,,,,,0
11798467,,,,,,,,,,0
11777966,,,,,,,,,,0
11748281,,,,,,,,,,0
11580851,,,,,,,,,,0
11533710,,,,,,,,,,0
11466360,,,,,,,,,,0
11445447,,,,,,,,,,0
11444386,,,,,,,,,,0
11315191,,,,,,,,,,0
11296664,,,,,,,,,,0
11290557,,,,,,,,,,0
11238623,,,,,,,,,,0
11093166,,,,,,,,,,0
11046002,,,,,,,,,,0
11012771,,,,,,,,,,0
10989309,,,,,,,,,,1
10861072,,,,,,,,,,0
10760288,,,,,,,,,,0
10631954,,,,,,,,,,0
10544192,,,,,,,,,,no abstract
10523605,,,,,,,,,,0
10452969,,,,,,,,,,0
10450506,,,,,,,,,,0
10377193,,,,,,,,,,0
10347123,,,,,,,,,,0
8879233,,,,,,,,,,0
32866776,,,,,,,,,,0
32676612,,,,,,,,,,no abstract
30874560,,,,,,,,,,0
30022091,,,,,,,,,,0
28574651,,,,,,,,,,0
27940552,,,,,,,,,,0
27026501,,,,,,,,,,0
26261078,,,,,,,,,,0
